weighted_error, threshold, feature, weight_alpha
6.247723132969045245e-01,-8.419299999999999562e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.417310000000000070e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.414369999999999905e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.405019999999999714e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.404840000000000089e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.403439999999999799e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.402410000000000156e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.402269999999999461e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.399349999999999872e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.397780000000000244e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.396259999999999835e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.391119999999999690e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.386069999999999913e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.386069999999999913e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.383920000000000261e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.381490000000000329e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.380520000000000191e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.380440000000000111e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.379649999999999599e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.378759999999999541e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.377750000000000474e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.373599999999999932e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.368799999999999573e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.368170000000000330e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.368090000000000250e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.367710000000000425e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.365529999999999911e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.364899999999999558e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.364759999999999973e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.364759999999999973e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.361429999999999696e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.356069999999999887e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.354230000000000267e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.353500000000000369e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.353289999999999882e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.352239999999999664e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.351030000000000397e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.350990000000000357e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.349779999999999980e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.349659999999999860e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.349100000000000410e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.349100000000000410e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.346580000000000110e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.346580000000000110e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.345799999999999885e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.344850000000000323e-01,-1.000000000000000000e+00,1.000000000000000000e+00
